1,삼성전자,"70,600",400,+0.57%,100,"4,214,666","5,969,783",51.44,"9,475,519",14.87,9.99,
2,SK하이닉스,"97,700",600,+0.62%,"5,000","711,258","728,002",47.08,"1,395,719",12.22,9.53,
3,NAVER,"407,500","11,000",+2.77%,100,"669,373","164,263",56.59,"557,077",4.05,15.22,
4,LG화학,"831,000","4,000",+0.48%,"5,000","586,622","70,592",47.32,"130,241",22.38,2.93,
5,삼성바이오로직스,"868,000","10,000",+1.17%,"2,500","574,312","66,165",10.60,"30,166",171.54,N/A,
6,카카오,"127,500","6,000",+4.94%,100,"567,836","445,361",30.05,"3,993,812",118.83,2.70,
7,삼성전자우,"64,400",300,+0.47%,100,"529,939","822,887",74.51,"1,045,455",13.56,N/A,
8,삼성SDI,"727,000","22,000",+3.12%,"5,000","499,918","68,765",44.62,"232,059",53.86,4.54,
9,현대차,"209,000",500,-0.24%,"5,000","446,567","213,668",28.67,"426,625",15.14,2.04,
10,기아,"84,300",100,+0.12%,"5,000","341,721","405,363",34.66,"806,432",9.84,5.05,
11,셀트리온,"218,000","1,500",+0.69%,"1,000","300,698","137,935",20.72,"476,368",51.11,16.68,
12,카카오뱅크,"61,300","1,300",+2.17%,"5,000","291,236","475,100",5.27,"1,306,307",198.38,5.08,
13,POSCO,"320,000",500,+0.16%,"5,000","278,998","87,187",54.66,"261,299",7.24,3.61,
14,현대모비스,"272,000","1,500",+0.55%,"5,000","257,837","94,793",34.98,"158,281",11.67,4.66,
15,크래프톤,"493,500","7,500",+1.54%,100,"241,575","48,951",6.21,"147,277",42.49,61.86,
16,SK이노베이션,"256,500","2,500",-0.97%,"5,000","237,174","92,466",24.85,"286,697",-53.14,-13.58,
17,KB금융,"55,400",500,-0.89%,"5,000","230,358","415,808",68.43,"725,629",5.46,8.53,
18,삼성물산,"121,000",500,+0.41%,100,"226,133","186,887",15.22,"224,789",13.80,3.81,
19,SK텔레콤,"299,500","3,500",+1.18%,500,"215,820","72,060",44.24,"314,544",11.37,6.44,
20,LG생활건강,"1,370,000","25,000",+1.86%,"5,000","213,969","15,618",45.30,"18,606",28.76,17.92,
21,LG전자,"126,500","3,000",+2.43%,"5,000","207,014","163,648",30.35,"584,686",15.31,13.23,
22,신한지주,"39,300",50,-0.13%,"5,000","203,024","516,600",60.87,"775,165",5.09,8.20,
23,SK,"260,000","1,000",-0.38%,200,"182,937","70,360",19.47,"136,570",16.78,1.11,
24,SK바이오사이언스,"232,000","1,500",+0.65%,500,"177,480","76,500",5.87,"319,966",113.01,13.25,
25,LG,"96,100",300,+0.31%,"5,000","151,166","157,301",33.81,"90,755",6.02,7.50,
26,한국전력,"22,950",0,0.00%,"5,000","147,331","641,964",14.85,"896,833",12.36,2.91,
27,삼성생명,"70,700",300,+0.43%,500,"141,400","200,000",12.82,"124,989",8.07,3.53,
28,엔씨소프트,"629,000","33,000",+5.54%,500,"138,091","21,954",44.95,"295,863",33.76,20.83,
29,SK아이이테크놀로지,"193,500","1,500",-0.77%,"1,000","137,961","71,298",9.63,"174,038",127.22,11.00,
30,하나금융지주,"44,450",50,-0.11%,"5,000","133,458","300,242",68.06,"488,069",4.38,8.96,
31,하이브,"322,000","17,000",+5.57%,500,"125,744","39,051",16.36,"502,256",114.55,12.52,
32,포스코케미칼,"162,000","1,500",+0.93%,500,"125,490","77,463",7.84,"404,731",117.05,2.96,
33,삼성에스디에스,"158,500",0,0.00%,500,"122,644","77,378",11.45,"53,048",19.03,6.71,
34,HMM,"30,000",900,+3.09%,"5,000","121,618","405,392",9.88,"4,289,089",19.00,8.93,
35,S-Oil,"106,000","2,500",-2.30%,"2,500","119,338","112,583",78.45,"357,914",13.63,-13.07,
36,두산중공업,"23,000",100,-0.43%,"5,000","119,302","518,704",9.38,"8,816,036",-54.63,-37.20,
37,삼성전기,"159,500","1,000",-0.62%,"5,000","119,136","74,694",32.25,"506,174",13.90,10.92,
38,삼성화재,"245,000","3,500",+1.45%,500,"116,068","47,375",48.71,"54,515",11.60,4.96,
39,고려아연,"607,000",0,0.00%,"5,000","114,541","18,870",18.66,"86,442",15.84,8.37,
40,KT&G,"82,000",200,+0.24%,"5,000","112,580","137,292",36.65,"179,779",10.16,13.22,
41,아모레퍼시픽,"190,000","1,500",+0.80%,500,"111,136","58,493",31.73,"187,266",88.17,0.78,
42,넷마블,"127,500","7,000",+5.81%,100,"109,591","85,954",23.09,"342,616",38.30,6.35,
43,대한항공,"30,750",200,-0.65%,"5,000","106,955","347,821",12.13,"2,033,815",16.01,-7.22,
44,현대중공업,"101,500",0,0.00%,"5,000","90,105","88,773",1.40,"329,080",-9.17,-7.86,
45,우리금융지주,"12,350",350,+2.92%,"5,000","89,915","728,061",29.06,"2,945,290",4.32,5.87,
46,한화솔루션,"45,300","1,500",+3.42%,"5,000","86,649","191,278",19.54,"1,981,739",11.24,5.30,
47,롯데케미칼,"244,500","1,500",+0.62%,"5,000","83,803","34,275",26.22,"56,299",7.01,1.22,
48,KT,"31,650",350,+1.12%,"5,000","82,642","261,112",44.25,"649,758",9.04,4.76,
49,한온시스템,"15,400",100,+0.65%,100,"82,205","533,800",18.08,"435,435",28.26,5.09,
50,기업은행,"10,950",50,+0.46%,"5,000","81,501","744,301",13.28,"1,310,912",4.60,6.44,
51,SK바이오팜,"100,500",600,+0.60%,500,"78,705","78,313",6.36,"115,236",-132.94,-135.18,
52,한국조선해양,"96,900","1,100",+1.15%,"5,000","68,579","70,773",19.01,"188,280",-4.42,-7.42,
53,현대글로비스,"177,500","1,000",+0.57%,500,"66,562","37,500",33.80,"68,527",9.87,12.45,
54,F&F,"867,000","1,000",-0.12%,500,"66,424","7,661",12.36,"31,026",N/A,N/A,
55,LG디스플레이,"18,050",150,-0.82%,"5,000","64,586","357,816",16.10,"2,204,369",5.43,-0.79,
56,LG유플러스,"14,700",50,-0.34%,"5,000","64,182","436,611",34.28,"843,307",11.09,6.46,
57,SKC,"168,000","4,000",+2.44%,"5,000","63,619","37,868",13.55,"423,559",146.09,2.21,
